lang_code;content
nl;startpagina
nl;evenementen
nl;geocaches
nl;contact
nl;"volg ons op sociale media"
nl;facebook
nl;instagram
nl;"X (Twitter)"
nl;"kunnen wij u helpen?"
nl;"Heeft u een vraag? Zit er iets dwars, of wilt u ons gewoon iets vertellen? Dan kan dat via dit kanaal; Mail, schrijf, bel of vul het formulier in."
nl;naam
nl;mail
nl;onderwerp
nl;bericht
nl;"post"
nl;"bel ons"
nl;"stuur ons een e-mail"
nl;"er zijn momenteel geen geplande evenementen"
nl;"evenementen laden"
nl;"geocaches laden"
en;home
en;events
en;geocaches
en;contact
en;"follow us on social media"
en;facebook
en;instagram
en;"X (Twitter)"
en;"can we help you?"
en;"Do you have a question? Is something bothering you, or do you simply want to tell us something? Then you can do so through this channel; Mail, write, call or fill out the form."
en;name
en;mail
en;subject
en;message
en;"postal mail"
en;"give us a call"
en;"send us an e-mail"
en;"there are no planned events at the moment"
en;"loading events"
en;"loading geocaches"
de;Startseite
de;Veranstaltungen
de;Geocaches
de;Kontakt
de;"Folgen Sie uns in den sozialen Medien"
de;Facebook
de;Instagram
de;"X (Twitter)"
de;"Können wir Ihnen helfen?"
de;"Haben Sie eine Frage? Stört Sie etwas, oder möchten Sie uns einfach etwas mitteilen? Dann können Sie dies über diesen Kanal tun; Mailen, schreiben, anrufen oder das Formular ausfüllen."
de;Name
de;Mail
de;Betreff
de;Nachricht
de;"Post"
de;"Rufen Sie uns an"
de;"Senden Sie uns eine E-Mail"
de;"Es sind derzeit keine Veranstaltungen geplant"
de;"Veranstaltungen werden geladen"
de;"Geocaches werden geladen"
fr;Accueil
fr;Événements
fr;Géocaches
fr;Contact
fr;"suivez-nous sur les réseaux sociaux"
fr;Facebook
fr;Instagram
fr;"X (Twitter)"
fr;"pouvons-nous vous aider?"
fr;"Avez-vous une question? Quelque chose vous dérange ou vous souhaitez simplement nous dire quelque chose? Vous pouvez le faire par ce canal; Envoyez un mail, écrivez, appelez ou remplissez le formulaire."
fr;Nom
fr;Mail
fr;Objet
fr;Message
fr;"courrier postal"
fr;"appelez-nous"
fr;"envoyez-nous un e-mail"
fr;"il n'y a pas d'événements prévus pour le moment"
fr;"chargement des événements"
fr;"chargement des géocaches"
